Year;CO2 Forcing.Annual change of atmospheric CO2 GtC[1];Emissions.CO2 emissions from Food and Land Use GtC[1];Emissions.CO2 Emissions from Other GtC[1];Emissions.CO2 energy GtC[1];Emissions.land carbon sink[1];Ocean.Air sea co2 flux[1]
1980;3.75;1.86;0.224;5.12;1.44;2.02
1981;3.79;2.14;0.213;5.02;1.53;2.06
1982;3.42;1.96;0.203;4.96;1.62;2.08
1983;2.94;1.76;0.195;4.94;1.75;2.21
1984;2.69;1.61;0.189;4.96;1.86;2.2
1985;2.63;1.41;0.185;5;1.91;2.06
1986;2.55;1.16;0.182;5.08;1.93;1.94
1987;2.64;1.14;0.181;5.17;1.97;1.87
1988;2.73;1.15;0.182;5.25;2.01;1.84
1989;2.84;1.18;0.183;5.34;2.05;1.81
1990;2.95;1.22;0.187;5.44;2.09;1.8
1991;2.94;1.16;0.191;5.54;2.13;1.82
1992;2.5;1.12;0.198;5.66;2.3;2.18
1993;2.32;1.14;0.206;5.79;2.47;2.34
1994;2.67;1.14;0.214;5.93;2.5;2.11
1995;3.02;1.12;0.224;6.06;2.48;1.9
1996;3.22;1.11;0.235;6.21;2.48;1.85
1997;3.35;1.12;0.246;6.36;2.5;1.88
1998;3.48;1.17;0.259;6.53;2.53;1.94
1999;3.61;1.21;0.272;6.69;2.57;1.99
2000;3.69;1.22;0.286;6.84;2.61;2.04
2001;3.72;1.19;0.3;6.97;2.64;2.09
2002;3.77;1.19;0.314;7.1;2.68;2.14
2003;3.88;1.24;0.327;7.22;2.72;2.2
2004;3.98;1.32;0.341;7.36;2.77;2.27
2005;4.1;1.41;0.354;7.5;2.83;2.34
2006;4.2;1.48;0.367;7.64;2.89;2.41
2007;4.25;1.5;0.381;7.78;2.95;2.47
2008;4.27;1.46;0.396;7.93;3.01;2.51
2009;4.27;1.4;0.411;8.06;3.06;2.54
2010;4.26;1.31;0.427;8.2;3.11;2.57
2011;4.28;1.23;0.443;8.33;3.14;2.57
2012;4.34;1.18;0.46;8.46;3.18;2.58
2013;4.44;1.17;0.477;8.59;3.2;2.59
2014;4.55;1.19;0.496;8.71;3.23;2.6
2015;4.65;1.21;0.515;8.83;3.27;2.64
2016;4.73;1.24;0.536;8.94;3.3;2.69
2017;4.8;1.28;0.558;9.04;3.34;2.73
2018;4.86;1.29;0.581;9.13;3.38;2.76
2019;4.88;1.28;0.603;9.2;3.41;2.79
2020;4.85;1.24;0.624;9.25;3.45;2.82
2021;4.8;1.17;0.643;9.29;3.48;2.83
2022;4.74;1.08;0.661;9.33;3.5;2.83
2023;4.7;0.999;0.679;9.35;3.51;2.81
2024;4.69;0.948;0.696;9.38;3.52;2.81
2025;4.72;0.936;0.713;9.41;3.53;2.81
2026;4.73;0.931;0.732;9.44;3.55;2.83
2027;4.73;0.927;0.75;9.47;3.56;2.85
2028;4.72;0.921;0.769;9.5;3.58;2.88
2029;4.72;0.914;0.789;9.52;3.6;2.9
2030;4.72;0.905;0.808;9.54;3.62;2.91
2031;4.72;0.894;0.827;9.55;3.63;2.92
2032;4.72;0.881;0.847;9.56;3.64;2.92
2033;4.73;0.869;0.866;9.57;3.65;2.92
2034;4.76;0.859;0.887;9.58;3.66;2.92
2035;4.79;0.853;0.908;9.59;3.66;2.9
2036;4.82;0.849;0.93;9.6;3.66;2.9
2037;4.85;0.846;0.953;9.61;3.65;2.91
2038;4.85;0.839;0.976;9.62;3.66;2.92
2039;4.85;0.829;0.999;9.61;3.66;2.93
2040;4.84;0.817;1.02;9.61;3.66;2.95
2041;4.83;0.806;1.04;9.61;3.67;2.96
2042;4.81;0.798;1.06;9.61;3.68;2.97
2043;4.82;0.793;1.08;9.61;3.68;2.98
2044;4.83;0.789;1.1;9.61;3.69;2.98
2045;4.85;0.785;1.12;9.61;3.69;2.98
2046;4.88;0.78;1.14;9.61;3.69;2.97
2047;4.91;0.773;1.16;9.62;3.68;2.96
2048;4.93;0.765;1.18;9.62;3.68;2.95
2049;4.94;0.754;1.2;9.62;3.67;2.96
2050;4.94;0.739;1.22;9.63;3.67;2.98
2051;4.91;0.723;1.23;9.63;3.67;3
2052;4.9;0.706;1.25;9.64;3.68;3.01
2053;4.89;0.69;1.27;9.65;3.69;3.02
2054;4.89;0.674;1.28;9.66;3.69;3.03
2055;4.91;0.66;1.3;9.68;3.7;3.03
2056;4.93;0.647;1.32;9.69;3.7;3.02
2057;4.97;0.637;1.33;9.71;3.7;3.01
2058;5;0.628;1.35;9.73;3.7;3.02
2059;5.03;0.622;1.38;9.75;3.69;3.02
2060;5.05;0.617;1.4;9.76;3.69;3.03
2061;5.06;0.612;1.42;9.78;3.7;3.05
2062;5.06;0.607;1.44;9.79;3.7;3.06
2063;5.07;0.603;1.45;9.8;3.71;3.08
2064;5.08;0.603;1.47;9.8;3.72;3.08
2065;5.1;0.606;1.49;9.81;3.72;3.09
2066;5.13;0.611;1.51;9.82;3.73;3.09
2067;5.17;0.616;1.52;9.83;3.73;3.08
2068;5.21;0.621;1.54;9.84;3.72;3.07
2069;5.24;0.623;1.56;9.85;3.72;3.07
2070;5.26;0.622;1.57;9.86;3.72;3.08
2071;5.26;0.619;1.59;9.87;3.72;3.1
2072;5.25;0.614;1.6;9.88;3.73;3.12
2073;5.25;0.608;1.61;9.89;3.73;3.13
2074;5.25;0.601;1.62;9.9;3.74;3.13
2075;5.26;0.593;1.64;9.92;3.75;3.14
2076;5.27;0.586;1.65;9.93;3.75;3.14
2077;5.28;0.58;1.66;9.95;3.76;3.14
2078;5.31;0.576;1.68;9.97;3.76;3.14
2079;5.35;0.574;1.69;9.99;3.76;3.14
2080;5.39;0.572;1.71;10;3.76;3.13
2081;5.43;0.566;1.72;10;3.76;3.13
2082;5.45;0.558;1.74;10;3.76;3.14
2083;5.46;0.55;1.75;10.1;3.76;3.15
2084;5.47;0.542;1.76;10.1;3.76;3.16
2085;5.48;0.536;1.77;10.1;3.76;3.17
2086;5.49;0.533;1.78;10.1;3.77;3.18
2087;5.51;0.532;1.79;10.2;3.78;3.19
2088;5.54;0.532;1.81;10.2;3.78;3.2
2089;5.57;0.532;1.82;10.2;3.78;3.2
2090;5.61;0.531;1.83;10.2;3.78;3.19
2091;5.66;0.528;1.85;10.2;3.78;3.18
2092;5.69;0.522;1.86;10.3;3.77;3.18
2093;5.72;0.514;1.86;10.3;3.76;3.17
2094;5.73;0.502;1.87;10.3;3.75;3.18
2095;5.72;0.488;1.87;10.3;3.75;3.2
2096;5.7;0.474;1.88;10.3;3.75;3.21
2097;5.69;0.459;1.88;10.3;3.76;3.23
2098;5.7;0.446;1.88;10.4;3.76;3.23
2099;5.71;0.433;1.88;10.4;3.76;3.23
2100;5.73;0.423;1.89;10.4;3.76;3.22
2101;5.77;0.416;1.89;10.4;3.76;3.22
2102;5.8;0.41;1.9;10.5;3.76;3.22
2103;5.83;0.404;1.91;10.5;3.75;3.22
2104;5.85;0.394;1.92;10.5;3.75;3.23
2105;5.87;0.38;1.93;10.5;3.74;3.23
2106;5.88;0.364;1.93;10.6;3.74;3.23
2107;5.9;0.354;1.93;10.6;3.73;3.23
2108;5.92;0.345;1.93;10.6;3.73;3.23
2109;5.95;0.338;1.94;10.6;3.73;3.23
2110;5.98;0.331;1.94;10.7;3.72;3.24
2111;6.02;0.326;1.95;10.7;3.72;3.24
2112;6.06;0.323;1.96;10.7;3.71;3.24
2113;6.1;0.32;1.97;10.8;3.7;3.25
2114;6.12;0.313;1.98;10.8;3.7;3.25
2115;6.14;0.306;1.99;10.8;3.69;3.25
2116;6.16;0.298;1.99;10.8;3.68;3.26
2117;6.16;0.289;1.98;10.8;3.67;3.26
2118;6.17;0.278;1.97;10.8;3.67;3.26
2119;6.17;0.267;1.96;10.9;3.66;3.26
2120;6.18;0.256;1.95;10.9;3.65;3.26
2121;6.19;0.245;1.95;10.9;3.65;3.26
2122;6.22;0.234;1.94;10.9;3.64;3.26
2123;6.24;0.225;1.94;11;3.63;3.26
2124;6.27;0.215;1.94;11;3.62;3.26
2125;6.29;0.206;1.95;11;3.61;3.26
2126;6.32;0.196;1.95;11;3.61;3.26
2127;6.34;0.184;1.95;11.1;3.6;3.26
2128;6.35;0.172;1.95;11.1;3.59;3.26
2129;6.37;0.159;1.95;11.1;3.58;3.26
Final;6.38;0.145;1.95;11.1;3.58;3.26
